#  t        fx         fy         fz    f_spring
 220.00    -22.41      1.10     -0.87     22.74
 260.00    -24.32      0.08     -0.98     24.57
 300.00    -12.94     -1.71      0.57     13.50
 340.00    -19.85      0.91     -0.62     20.90
 380.00    -15.53     -2.43      0.06     15.74
 420.00    -23.58     -2.17     -1.13     23.98
 460.00    -14.37      1.64      0.31     15.18
 500.00    -13.49      2.39     -0.08     13.94
 540.00    -14.47     -2.44      1.80     15.24
 580.00    -13.68      0.22     -1.02     14.35
 620.00    -18.48      0.67     -0.01     19.11
 660.00    -19.35      1.23      2.22     19.57
 700.00    -14.20      0.68     -1.14     14.45
 740.00     -7.87      0.72      0.12      9.54
 780.00     -6.26     -2.75      0.69      7.13
 820.00    -14.11     -0.33     -0.16     15.07
 860.00    -17.45     -1.45     -1.15     18.00
 900.00    -32.20     -1.78      0.13     32.42
 940.00    -43.50     -0.46      2.17     43.90
 980.00    -24.36      0.17      1.40     24.44
1020.00    -25.13      0.21      0.21     25.15
1060.00     -9.58     -0.02     -0.89      9.80
1100.00    -22.29      0.27     -1.13     22.55
1140.00    -21.41     -0.97      0.53     22.21
1180.00    -15.13     -0.30     -1.09     15.41
1220.00    -11.19      0.38      2.03     11.65
1260.00    -17.24      2.06      1.38     19.17
