#  t        fx         fy         fz    f_spring
 220.00     -9.98     -1.86     -0.52     10.17
 260.00    -10.27      1.81     -1.19     11.58
 300.00    -11.62      0.43     -0.35     11.83
 340.00    -14.43      1.31     -0.20     15.18
 380.00    -10.68      0.52     -0.15     10.97
 420.00     -3.81      1.36      1.98      5.87
 460.00     -7.21     -1.80      0.65      7.59
 500.00    -12.20      1.32      0.88     12.62
 540.00     -9.25      1.32      0.58     10.07
 580.00    -11.75      0.32      0.03     12.59
 620.00    -10.41     -1.29     -0.78     11.66
 660.00     -9.27      2.96     -0.89     10.46
 700.00     -4.41      1.94      1.24      5.85
 740.00     -4.42     -0.54     -2.39      5.42
 780.00    -14.39     -1.35     -0.90     15.02
 820.00    -12.28      3.08     -0.05     12.76
 860.00    -14.52      0.57     -0.33     14.57
 900.00    -15.55      1.58     -2.65     16.89
 940.00    -17.65     -0.44     -1.66     18.35
 980.00    -13.85     -0.67     -1.61     14.25
1020.00    -20.06      1.53     -0.60     20.66
1060.00    -12.93      0.19      1.32     14.52
1100.00    -14.80     -2.46      1.90     15.75
1140.00    -15.80     -1.10     -0.53     16.04
1180.00    -22.73      1.86      1.36     23.12
1220.00    -14.57     -0.85     -1.42     15.82
1260.00    -13.41      0.42     -0.45     13.74
1300.00     -6.93      0.29     -1.10      7.83
1340.00    -18.32     -0.93     -0.24     18.41
